,Data de confirmação
2022-10-25,1
2022-10-26,56
2022-10-28,2
2022-10-29,20
2022-10-30,20
2022-10-31,2
2022-11-01,10
2022-11-04,1
2022-11-06,19
2022-11-07,10
2022-11-08,1
2022-11-09,6
2022-11-10,6
2022-11-11,6
2022-11-12,7
2022-11-14,6
2022-11-15,2
2022-11-16,55
2022-11-17,51
2022-11-18,1
2022-11-19,3
2022-11-22,86
2022-11-23,7
2022-11-24,5
2022-11-25,6
2022-11-26,1
2022-11-27,99
2022-11-28,2
2022-11-29,96
2022-11-30,9
2022-12-01,42
2022-12-02,10
2022-12-03,11
2022-12-04,29
2022-12-05,19
2022-12-06,30
2022-12-07,121
2022-12-08,22
2022-12-09,7
2022-12-10,1
2022-12-11,115
2022-12-12,99
2022-12-13,66
2022-12-14,100
2022-12-15,283
2022-12-16,97
2022-12-18,17
2022-12-19,55
2022-12-20,51
2022-12-21,136
2022-12-22,19
2022-12-23,26
2022-12-24,31
2022-12-25,58
2022-12-26,43
2022-12-28,63
2022-12-29,112
2022-12-30,52
2022-12-31,1
2023-01-01,21
2023-01-02,45
2023-01-03,47
